日付, ミミ, ニャミ
2024/08/22 10:00, 1000, 1000
2024/08/22 10:10, 1000, 1000
2024/08/22 10:20, 1000, 1000
2024/08/22 10:30, 1000, 1000
2024/08/22 10:40, 1000, 1000
2024/08/22 10:50, 1000, 1000
2024/08/22 11:00, 1000, 1000
2024/08/22 11:10, 1000, 1000
2024/08/22 11:20, 1000, 1000
2024/08/22 11:30, 1000, 1000
2024/08/22 11:40, 999, 1000
2024/08/22 11:50, 999, 999
2024/08/22 12:00, 999, 999
2024/08/22 12:10, 998, 999
2024/08/22 12:20, 996, 999
2024/08/22 12:30, 996, 999
2024/08/22 12:40, 996, 999
2024/08/22 12:50, 996, 999
2024/08/22 13:00, 995, 999
2024/08/22 13:10, 994, 998
2024/08/22 13:20, 994, 998
2024/08/22 13:30, 994, 998
2024/08/22 13:40, 994, 997
2024/08/22 13:50, 993, 997
2024/08/22 14:00, 993, 997
2024/08/22 14:10, 993, 997
2024/08/22 14:20, 992, 997
2024/08/22 14:30, 992, 997
2024/08/22 14:40, 992, 996
2024/08/22 14:50, 991, 995
2024/08/22 15:00, 991, 995
2024/08/22 15:10, 991, 995
2024/08/22 15:20, 991, 995
2024/08/22 15:30, 991, 995
2024/08/22 15:40, 991, 995
2024/08/22 15:50, 989, 993
2024/08/22 16:00, 989, 993
2024/08/22 16:10, 988, 993
2024/08/22 16:20, 987, 991
2024/08/22 16:30, 986, 991
2024/08/22 16:40, 984, 989
2024/08/22 16:50, 984, 989
2024/08/22 17:00, 983, 989
2024/08/22 17:10, 982, 988
2024/08/22 17:20, 982, 987
2024/08/22 17:30, 981, 987
2024/08/22 17:40, 980, 987
2024/08/22 17:50, 980, 986
2024/08/22 18:00, 980, 986
2024/08/22 18:10, 980, 986
2024/08/22 18:20, 980, 986
2024/08/22 18:30, 979, 986
2024/08/22 18:40, 978, 984
2024/08/22 18:50, 977, 984
2024/08/22 19:00, 977, 984
2024/08/22 19:10, 977, 984
2024/08/22 19:20, 977, 984
2024/08/22 19:30, 975, 982
2024/08/22 19:40, 975, 981
2024/08/22 19:50, 975, 981
2024/08/22 20:00, 975, 981
2024/08/22 20:10, 975, 981
2024/08/22 20:20, 973, 980
2024/08/22 20:30, 973, 980
2024/08/22 20:40, 973, 980
2024/08/22 20:50, 973, 979
2024/08/22 21:00, 971, 978
2024/08/22 21:10, 970, 978
2024/08/22 21:20, 970, 978
2024/08/22 21:30, 969, 978
2024/08/22 21:40, 969, 978
2024/08/22 21:50, 969, 978
2024/08/22 22:00, 969, 978
2024/08/22 22:10, 968, 977
2024/08/22 22:20, 967, 977
2024/08/22 22:30, 965, 976
2024/08/22 22:40, 963, 974
2024/08/22 22:50, 963, 973
2024/08/22 23:00, 963, 972
2024/08/22 23:10, 963, 972
2024/08/22 23:20, 963, 971
2024/08/22 23:30, 963, 971
2024/08/22 23:40, 961, 971
2024/08/22 23:50, 959, 971

2024/08/23 10:00, 957, 969
2024/08/23 10:10, 957, 969
2024/08/23 10:20, 957, 969
2024/08/23 10:30, 957, 969
2024/08/23 10:40, 956, 969
2024/08/23 10:50, 955, 969
2024/08/23 11:00, 955, 969
2024/08/23 11:10, 955, 969
2024/08/23 11:20, 955, 969
2024/08/23 11:30, 955, 969
2024/08/23 11:40, 955, 969
2024/08/23 11:50, 955, 969
2024/08/23 12:00, 954, 968
2024/08/23 12:10, 954, 968
2024/08/23 12:20, 952, 967
2024/08/23 12:30, 951, 966
2024/08/23 12:40, 951, 966
2024/08/23 12:50, 950, 965
2024/08/23 13:00, 950, 965
2024/08/23 13:10, 949, 965
2024/08/23 13:20, 949, 965
2024/08/23 13:30, 949, 964
2024/08/23 13:40, 949, 964
2024/08/23 13:50, 949, 964
2024/08/23 14:00, 947, 964
2024/08/23 14:10, 945, 964
2024/08/23 14:20, 945, 964
2024/08/23 14:30, 944, 964
2024/08/23 14:40, 944, 964
2024/08/23 14:50, 943, 963
2024/08/23 15:00, 943, 962
2024/08/23 15:10, 943, 962
2024/08/23 15:20, 943, 961
2024/08/23 15:30, 943, 961
2024/08/23 15:40, 940, 960
2024/08/23 15:50, 939, 959
2024/08/23 16:00, 936, 958
2024/08/23 16:10, 936, 956
2024/08/23 16:20, 934, 956
2024/08/23 16:30, 934, 956
2024/08/23 16:40, 934, 956
2024/08/23 16:50, 934, 955
2024/08/23 17:00, 934, 955
2024/08/23 17:10, 933, 955
2024/08/23 17:20, 933, 954
2024/08/23 17:30, 933, 954
2024/08/23 17:40, 932, 953
2024/08/23 17:50, 932, 952
2024/08/23 18:00, 931, 951
2024/08/23 18:10, 931, 950
2024/08/23 18:20, 931, 950
2024/08/23 18:30, 930, 946
2024/08/23 18:40, 929, 945
2024/08/23 18:50, 927, 945
2024/08/23 19:00, 926, 945
2024/08/23 19:10, 925, 944
2024/08/23 19:20, 923, 944
2024/08/23 19:30, 923, 943
2024/08/23 19:40, 922, 942
2024/08/23 19:50, 920, 941
2024/08/23 20:00, 920, 941
2024/08/23 20:10, 917, 940
2024/08/23 20:20, 915, 939
2024/08/23 20:30, 914, 939
2024/08/23 20:40, 914, 937
2024/08/23 20:50, 912, 936
2024/08/23 21:00, 912, 935
2024/08/23 21:10, 912, 933
2024/08/23 21:20, 911, 932
2024/08/23 21:30, 910, 932
